"Бренд";"Тип_детали";"Артикул_Бренда";"Артикул_Кросс";"Оригинальный_номер";"Наименование";"Категория";"Код";"Артикул";"Единица";"Главная категория"
"SAT";"Тяга рулевая";"";"CRT-73";"45503-49095";"CRT-73 тяга рулевая 45503-49095 SAT";"SUFIX/тяги рулевые";"LEN00006118";"";"шт";"SUFIX"
"SAT";"Шаровая опора";"";"CBT-48";"";"CBT-48 шаровая опора /SB-3561/ SAT";"SUFIX/шаровые опоры";"LEN00004598";"";"шт";"SUFIX"
"SAT";"Шаровая опора";"";"CBT-91";"48068-29265";"CBT-91 48068-29265 шаровые опоры нижняя ACM2# SAT";"SUFIX/шаровые опоры";"LEN00001169";"";"шт";"SUFIX"
"Febest";"Тяга рулевая";"0422-H57";"";"";"0422-H57  рулевая тяга FEBEST";"CHASE/SR рулевые тяги";"LEN00009445";"";"шт";"CHASE"
"MILES";"Рулевой наконечник";"DC17094";"CET-115L";"";"CET-115L DC17094  рулевой наконечник MILES";"CHASE/SE рулевой наконечник";"LEN00010335";"";"шт";"CHASE"
"MILES";"Рулевой наконечник";"DC17095";"CET-115R";"";"CET-115R DC17095 рулевой наконечник MILES";"CHASE/SE рулевой наконечник";"LEN00010336";"";"шт";"CHASE"
"MILES";"Шаровая опора";"DB35070";"C1090LR";"";"C1090LR DB35070 шаровая опора Miles";"LYNX/SB опора шаровая";"LEN00013219";"";"шт";"LYNX"
"MILES";"Шаровая опора";"DB35008";"";"";"DB35008 шаровая опора MILES";"LYNX/SB опора шаровая";"LEN00005876";"";"шт";"LYNX"
"Aplus";"Рулевой наконечник";"13559AP";"CET-126L";"";"CET-126L 13559AP рулевой наконечник APlus";"LYNX/SE рулевые наконечники";"LEN00011889";"77877";"шт";"LYNX"
"Aplus";"Рулевой наконечник";"13581AP";"CET-126R";"";"CET-126R 13581AP рулевой наконечник APlus";"LYNX/SE рулевые наконечники";"LEN00011888";"77877";"шт";"LYNX"
"Tenacity";"Стойка стабилизатора";"";"SL-3775";"48830-28010";"SL-3775 48830-28010 стойка стабилизатора TENACITY";"CHASE/SL стойки стабилизатора";"LEN00012124";"ATLTO1085";"шт";"CHASE"
"R8";"Стойка стабилизатора";"";"";"48810-30010";"48810-30010 тяга стаб. R8";"CHASE/SL стойки стабилизатора";"LEN00005413";"";"шт";"CHASE"
"R8";"Стойка стабилизатора";"";"";"48820-30030";"48820-30030 тяга стаб. R8";"CHASE/SL стойки стабилизатора";"LEN00005409";"";"шт";"CHASE"
"Sidem";"Стойка стабилизатора";"41562";"";"";"41562 стойка стабилизатора Sidem";"CHASE/SL стойки стабилизатора";"LEN00014385";"";"шт";"CHASE"
"Blue Print";"Стойка стабилизатора";"ADT385100";"";"";"ADT385100 стойка стабилизатора Blue Print";"CHASE/SL стойки стабилизатора";"LEN00006570";"";"шт";"CHASE"
"GMB";"Тяга рулевая";"08050310";"CRHO-17";"";"CRHO-17 08050310  рулевая тяга CR-V RD-1,RD2 95- GMB";"CHASE/SR рулевые тяги";"LEN00008376";"53010-S10-000";"шт";"CHASE"
"GMB";"Шаровая опора";"0101-0725";"CBT-16";"";"CBT-16 0101-0725 шаровая опора GMB";"LYNX/SB опора шаровая";"LEN00009936";"";"шт";"LYNX"
"GMB";"Стойка стабилизатора";"1005-0370";"CLHO-70";"";"CLHO-70 1005-0370 стойка стабилизатора  GMB";"LYNX/SL стойка стабилизатора";"LEN00015071";"";"шт";"LYNX"
"MASUMA";"Стойка стабилизатора";"ML-7875";"CLM-18";"MR403771";"CLM-18/ML-7875 тяга стаб. MR 403771 MASUMA";"CHASE/SL стойки стабилизатора";"2313";"MR 403771";"шт";"CHASE"
"MASUMA";"Стойка стабилизатора";"ML-9015";"";"48820-28020";"ML-9015 тяга стаб. 48820-28020 MASUMA";"CHASE/SL стойки стабилизатора";"LEN00003600";"ML-9015";"шт";"CHASE"
"Baikor";"Тяга рулевая";"BKSR0027";"";"";"BKSR0027 тяга рулевая BAIKOR";"CHASE/SR рулевые тяги";"LEN00012956";"";"шт";"CHASE"
"Nipparts";"Стойка стабилизатора";"J4972007";"CLT-8";"";"CLT-8 J4972007 стойка стабилизатора NIPPARTS";"LYNX/SL стойка стабилизатора";"LEN00011181";"";"шт";"LYNX"
"PARTRA";"Тяга рулевая";"AJ5045";"CRT-54";"";"CRT-54 /AJ5045 рулевая тяга PARTRA";"TI-GUAR/ТЯГИ РУЛЕВЫЕ";"LEN00013199";"";"шт";"TI-GUAR"
"Tatsumi";"Тяга рулевая";"TED1054";"";"";"TED1054 рулевая тяга TATSUMI";"LYNX/SR Тяга рулевая";"LEN00013302";"";"шт";"LYNX"
"QSTEN";"Тяга рулевая";"";"";"";"A01RE10660 рулевая тяга NZE12 QSTEN";"LYNX/SR Тяга рулевая";"LEN00001066";"";"шт";"LYNX"
"CTR";"Тяга рулевая";"CRMZ-4";"SR-1410";"";"CRMZ-4 SR-1410 рулевая тяга Bongo 83- Bongo 4wd 84 CTR";"CHASE/SR рулевые тяги";"1865";"C2078LR";"шт";"CHASE"
"AISK";"Стойка стабилизатора";"";"CLT-14";"48810-33010";"CLT-14 48810-33010 тяга стабилизатора SXV20 MCU10 FR AISK";"CHASE/SL стойки стабилизатора";"738";"";"шт";"CHASE"
"AISK";"Стойка стабилизатора";"SL195";"CLT-42";"";"CLT-42 SL195 тяга стабилизатора SV35 AISK";"CHASE/SL стойки стабилизатора";"LEN00001808";"48830-32040";"шт";"CHASE"
"AISK";"Стойка стабилизатора";"";"SL-2935";"";"SL-2935 тяга стабилизатора SV4#/ACU1#/SXV10 AISK";"CHASE/SL стойки стабилизатора";"732";"48830-33010";"шт";"CHASE"
"BM";"Стойка стабилизатора";"TR2472";"";"";"TR 2472 Стойка стабилизатора | перед, прав, лев | BM";"CHASE/SL стойки стабилизатора";"LEN00011887";"";"шт";"CHASE"
"OEM";"Рулевой наконечник";"";"";"45046-69236";"45046-69236 Наконечник рулевой тяги | прав | Toyota";"555/SE рулевые наконечники";"LEN00014760";"";"шт";"555"
"OEM";"Рулевой наконечник";"";"";"45047-69146";"45047-69146 Наконечник рулевой тяги | лев | Toyota";"555/SE рулевые наконечники";"LEN00014759";"";"шт";"555"
"OEM";"Стойка стабилизатора";"";"CLMZ-33";"S10H-34-150";"CLMZ-33/S10H-34-150  тяга стаб. MAZDA (МАГНИТОФОН)";"CHASE/SL стойки стабилизатора";"LEN00005836";"";"шт";"CHASE"
"OEM";"Стойка стабилизатора";"";"CLN-16";"54618-0W001";"CLN-16 SL-4840 /54618-0W001/ тяга стабилизатора TERRANO 50 OEM";"CHASE/SL стойки стабилизатора";"LEN00000149";"54618-0W001";"шт";"CHASE"
"OEM";"Стойка стабилизатора";"";"";"54618-02E00";"54618-02E00 Стойка стабилизатора";"TI-GUAR/СТОЙКИ СТАБИЛИЗАТОРА";"LEN00012657";"";"шт";"TI-GUAR"
"Ti-Guar";"Шаровая опора";"TG-54530-25000";"";"54530-25000";"54530-25000  шаровая опора TI-GUAR";"555/SB шаровые опоры";"LEN00007916";"";"шт";"555"
"Ti-Guar";"Шаровая опора";"TG-40160-EN001";"CBN-70";"40160-EN001";"CBN-70 40160-EN001  шаровая опора TI-GUAR";"555/SB шаровые опоры";"LEN00007876";"";"шт";"555"
"Ti-Guar";"Шаровая опора";"TG-G030-99-356";"SB-1392";"G030-99-356";"SB-1392 G030-99-356 шаровая опора TI-GUAR";"555/SB шаровые опоры";"LEN00007697";"";"шт";"555"
"Ti-Guar";"Шаровая опора";"TG-40160-52Y00";"SB-4742";"40160-52Y00";"SB-4742 40160-52Y00 шаровая опора TI-GUAR";"555/SB шаровые опоры";"LEN00010599";"";"шт";"555"
